origins,destinations,durations,departure_times
"1290 St Nicholas Ave, New York, NY 10033, USA","506 Lenox Ave, New York, NY 10037, USA",35 mins,1609763400
"2300 Randall Ave, The Bronx, NY 10473, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",47 mins,1609763400
"2300 Randall Ave, The Bronx, NY 10473, USA","4422 3rd Ave., The Bronx, NY 10456, USA",58 mins,1609763400
"2300 Randall Ave, The Bronx, NY 10473, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 17 mins,1609763400
"2300 Randall Ave, The Bronx, NY 10473, USA","25-10 30th Ave, Queens, NY 11102, USA",1 hour 21 mins,1609763400
"2300 Randall Ave, The Bronx, NY 10473, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 0 mins,1609763400
"1500 E 92nd St, Brooklyn, NY 11236, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 9 mins,1609765200
"1500 E 92nd St, Brooklyn, NY 11236, USA","4422 3rd Ave., The Bronx, NY 10456, USA",2 hours 4 mins,1609765200
"1500 E 92nd St, Brooklyn, NY 11236, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 50 mins,1609765200
"1500 E 92nd St, Brooklyn, NY 11236, USA","25-10 30th Ave, Queens, NY 11102, USA",1 hour 20 mins,1609765200
"1500 E 92nd St, Brooklyn, NY 11236, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 39 mins,1609765200
"108-35 167th St, Queens, NY 11433, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 51 mins,1609765200
"108-35 167th St, Queens, NY 11433, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 41 mins,1609765200
"108-35 167th St, Queens, NY 11433, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 37 mins,1609765200
"108-35 167th St, Queens, NY 11433, USA","25-10 30th Ave, Queens, NY 11102, USA",1 hour 9 mins,1609765200
"108-35 167th St, Queens, NY 11433, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 24 mins,1609765200
"102-29 215th St, Jamaica, NY 11429, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 5 mins,1609765200
"102-29 215th St, Jamaica, NY 11429, USA","4422 3rd Ave., The Bronx, NY 10456, USA",2 hours 3 mins,1609765200
"102-29 215th St, Jamaica, NY 11429, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 45 mins,1609765200
"102-29 215th St, Jamaica, NY 11429, USA","25-10 30th Ave, Queens, NY 11102, USA",1 hour 21 mins,1609765200
"102-29 215th St, Jamaica, NY 11429, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 34 mins,1609765200
"1290 St Nicholas Ave, New York, NY 10033, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 9 mins,1609765200
"1290 St Nicholas Ave, New York, NY 10033, USA","4422 3rd Ave., The Bronx, NY 10456, USA",46 mins,1609765200
"1290 St Nicholas Ave, New York, NY 10033, USA","1447 St Nicholas Ave, New York, NY 10033, USA",9 mins,1609765200
"1290 St Nicholas Ave, New York, NY 10033, USA","25-10 30th Ave, Queens, NY 11102, USA",53 mins,1609765200
"1290 St Nicholas Ave, New York, NY 10033, USA","506 Lenox Ave, New York, NY 10037, USA",32 mins,1609765200
"2300 Randall Ave, The Bronx, NY 10473, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",46 mins,1609765200
"2300 Randall Ave, The Bronx, NY 10473, USA","4422 3rd Ave., The Bronx, NY 10456, USA",55 mins,1609765200
"2300 Randall Ave, The Bronx, NY 10473, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 14 mins,1609765200
"2300 Randall Ave, The Bronx, NY 10473, USA","25-10 30th Ave, Queens, NY 11102, USA",1 hour 22 mins,1609765200
"2300 Randall Ave, The Bronx, NY 10473, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 4 mins,1609765200
"1500 E 92nd St, Brooklyn, NY 11236, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 15 mins,1609767000
"1500 E 92nd St, Brooklyn, NY 11236, USA","4422 3rd Ave., The Bronx, NY 10456, USA",2 hours 14 mins,1609767000
"1500 E 92nd St, Brooklyn, NY 11236, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 42 mins,1609767000
"1500 E 92nd St, Brooklyn, NY 11236, USA","25-10 30th Ave, Queens, NY 11102, USA",1 hour 36 mins,1609767000
"1500 E 92nd St, Brooklyn, NY 11236, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 36 mins,1609767000
"108-35 167th St, Queens, NY 11433, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 53 mins,1609767000
"108-35 167th St, Queens, NY 11433, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 47 mins,1609767000
"108-35 167th St, Queens, NY 11433, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 27 mins,1609767000
"108-35 167th St, Queens, NY 11433, USA","25-10 30th Ave, Queens, NY 11102, USA",1 hour 8 mins,1609767000
"108-35 167th St, Queens, NY 11433, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 18 mins,1609767000
"102-29 215th St, Jamaica, NY 11429, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 5 mins,1609767000
"102-29 215th St, Jamaica, NY 11429, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 56 mins,1609767000
"102-29 215th St, Jamaica, NY 11429, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 47 mins,1609767000
"102-29 215th St, Jamaica, NY 11429, USA","25-10 30th Ave, Queens, NY 11102, USA",1 hour 15 mins,1609767000
"102-29 215th St, Jamaica, NY 11429, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 31 mins,1609767000
"1290 St Nicholas Ave, New York, NY 10033, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 1 min,1609767000
"1290 St Nicholas Ave, New York, NY 10033, USA","4422 3rd Ave., The Bronx, NY 10456, USA",43 mins,1609767000
"1290 St Nicholas Ave, New York, NY 10033, USA","1447 St Nicholas Ave, New York, NY 10033, USA",6 mins,1609767000
"1290 St Nicholas Ave, New York, NY 10033, USA","25-10 30th Ave, Queens, NY 11102, USA",53 mins,1609767000
"1290 St Nicholas Ave, New York, NY 10033, USA","506 Lenox Ave, New York, NY 10037, USA",32 mins,1609767000
"2300 Randall Ave, The Bronx, NY 10473, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",44 mins,1609767000
"2300 Randall Ave, The Bronx, NY 10473, USA","4422 3rd Ave., The Bronx, NY 10456, USA",52 mins,1609767000
"2300 Randall Ave, The Bronx, NY 10473, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 10 mins,1609767000
"2300 Randall Ave, The Bronx, NY 10473, USA","25-10 30th Ave, Queens, NY 11102, USA",1 hour 25 mins,1609767000
"2300 Randall Ave, The Bronx, NY 10473, USA","506 Lenox Ave, New York, NY 10037, USA",58 mins,1609767000
"1500 E 92nd St, Brooklyn, NY 11236, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 10 mins,1609768800
"1500 E 92nd St, Brooklyn, NY 11236, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 47 mins,1609768800
"1500 E 92nd St, Brooklyn, NY 11236, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 39 mins,1609768800
"1500 E 92nd St, Brooklyn, NY 11236, USA","25-10 30th Ave, Queens, NY 11102, USA",1 hour 37 mins,1609768800
"1500 E 92nd St, Brooklyn, NY 11236, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 37 mins,1609768800
"108-35 167th St, Queens, NY 11433, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 51 mins,1609768800
"108-35 167th St, Queens, NY 11433, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 38 mins,1609768800
"108-35 167th St, Queens, NY 11433, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 24 mins,1609768800
"108-35 167th St, Queens, NY 11433, USA","25-10 30th Ave, Queens, NY 11102, USA",1 hour 8 mins,1609768800
"108-35 167th St, Queens, NY 11433, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 21 mins,1609768800
"102-29 215th St, Jamaica, NY 11429, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 3 mins,1609768800
"102-29 215th St, Jamaica, NY 11429, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 58 mins,1609768800
"102-29 215th St, Jamaica, NY 11429, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 47 mins,1609768800
"102-29 215th St, Jamaica, NY 11429, USA","25-10 30th Ave, Queens, NY 11102, USA",1 hour 22 mins,1609768800
"102-29 215th St, Jamaica, NY 11429, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 28 mins,1609768800
"1290 St Nicholas Ave, New York, NY 10033, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 4 mins,1609768800
"1290 St Nicholas Ave, New York, NY 10033, USA","4422 3rd Ave., The Bronx, NY 10456, USA",42 mins,1609768800
"1290 St Nicholas Ave, New York, NY 10033, USA","1447 St Nicholas Ave, New York, NY 10033, USA",6 mins,1609768800
"1290 St Nicholas Ave, New York, NY 10033, USA","25-10 30th Ave, Queens, NY 11102, USA",58 mins,1609768800
"1290 St Nicholas Ave, New York, NY 10033, USA","506 Lenox Ave, New York, NY 10037, USA",32 mins,1609768800
"2300 Randall Ave, The Bronx, NY 10473, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",44 mins,1609768800
"2300 Randall Ave, The Bronx, NY 10473, USA","4422 3rd Ave., The Bronx, NY 10456, USA",57 mins,1609768800
"2300 Randall Ave, The Bronx, NY 10473, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 19 mins,1609768800
"2300 Randall Ave, The Bronx, NY 10473, USA","25-10 30th Ave, Queens, NY 11102, USA",1 hour 22 mins,1609768800
"2300 Randall Ave, The Bronx, NY 10473, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 2 mins,1609768800
"1500 E 92nd St, Brooklyn, NY 11236, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",2 hours 19 mins,1609770600
"1500 E 92nd St, Brooklyn, NY 11236, USA","4422 3rd Ave., The Bronx, NY 10456, USA",2 hours 4 mins,1609770600
"1500 E 92nd St, Brooklyn, NY 11236, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 40 mins,1609770600
"1500 E 92nd St, Brooklyn, NY 11236, USA","25-10 30th Ave, Queens, NY 11102, USA",1 hour 29 mins,1609770600
"1500 E 92nd St, Brooklyn, NY 11236, USA","506 Lenox Ave, New York, NY 10037, USA",1 hour 34 mins,1609770600
"108-35 167th St, Queens, NY 11433, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1 hour 54 mins,1609770600
"108-35 167th St, Queens, NY 11433, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1 hour 36 mins,1609770600
"108-35 167th St, Queens, NY 11433, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1 hour 26 mins,1609770600
