origins,destinations,durations,departure_times,distance
"1290 St Nicholas Ave, New York, NY 10033, USA","56-45 Main St, Flushing, NY 11355, USA",1 hour 20 mins,1611577800,17.3 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","900 Franklin Ave, Valley Stream, NY 11580, USA",2 hours 20 mins,1611577800,30.2 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","760 Broadway, Brooklyn, NY 11206, USA",1 hour 1 min,1611577800,13.3 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","800 Poly Pl, Brooklyn, NY 11209, USA",1 hour 29 mins,1611577800,20.0 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","259 1st St, Mineola, NY 11501, USA",2 hours 19 mins,1611577800,29.1 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","56-45 Main St, Flushing, NY 11355, USA",1 hour 12 mins,1611577800,8.0 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","900 Franklin Ave, Valley Stream, NY 11580, USA",2 hours 32 mins,1611577800,19.5 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","760 Broadway, Brooklyn, NY 11206, USA",1 hour 42 mins,1611577800,17.4 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","800 Poly Pl, Brooklyn, NY 11209, USA",2 hours 11 mins,1611577800,24.5 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","259 1st St, Mineola, NY 11501, USA",2 hours 32 mins,1611577800,19.1 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","56-45 Main St, Flushing, NY 11355, USA",1 hour 41 mins,1611579600,13.4 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","900 Franklin Ave, Valley Stream, NY 11580, USA",2 hours 24 mins,1611579600,18.9 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","760 Broadway, Brooklyn, NY 11206, USA",1 hour 15 mins,1611579600,7.2 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","800 Poly Pl, Brooklyn, NY 11209, USA",1 hour 22 mins,1611579600,8.9 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","259 1st St, Mineola, NY 11501, USA",2 hours 29 mins,1611579600,20.9 mi
"108-35 167th St, Jamaica, NY 11433, USA","56-45 Main St, Flushing, NY 11355, USA",49 mins,1611579600,5.4 mi
"108-35 167th St, Jamaica, NY 11433, USA","900 Franklin Ave, Valley Stream, NY 11580, USA",55 mins,1611579600,9.4 mi
"108-35 167th St, Jamaica, NY 11433, USA","760 Broadway, Brooklyn, NY 11206, USA",1 hour 1 min,1611579600,10.3 mi
"108-35 167th St, Jamaica, NY 11433, USA","800 Poly Pl, Brooklyn, NY 11209, USA",1 hour 48 mins,1611579600,20.1 mi
"108-35 167th St, Jamaica, NY 11433, USA","259 1st St, Mineola, NY 11501, USA",1 hour 17 mins,1611579600,11.5 mi
"102-29 215th St, Jamaica, NY 11429, USA","56-45 Main St, Flushing, NY 11355, USA",1 hour 2 mins,1611579600,7.6 mi
"102-29 215th St, Jamaica, NY 11429, USA","900 Franklin Ave, Valley Stream, NY 11580, USA",47 mins,1611579600,5.8 mi
"102-29 215th St, Jamaica, NY 11429, USA","760 Broadway, Brooklyn, NY 11206, USA",1 hour 18 mins,1611579600,12.5 mi
"102-29 215th St, Jamaica, NY 11429, USA","800 Poly Pl, Brooklyn, NY 11209, USA",2 hours 7 mins,1611579600,27.9 mi
