origins,destinations,departure_times,travel_time,departure_dt,hour,date
"108-35 167th St, Queens, NY 11433, USA","25-10 30th Ave, Queens, NY 11102, USA",1607949000,71,2020-12-14 07:30:00-05:00,7,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","506 Lenox Ave, New York, NY 10037, USA",1607949000,85,2020-12-14 07:30:00-05:00,7,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607949000,130,2020-12-14 07:30:00-05:00,7,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607949000,117,2020-12-14 07:30:00-05:00,7,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607949000,105,2020-12-14 07:30:00-05:00,7,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","25-10 30th Ave, Queens, NY 11102, USA",1607949000,77,2020-12-14 07:30:00-05:00,7,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","506 Lenox Ave, New York, NY 10037, USA",1607949000,93,2020-12-14 07:30:00-05:00,7,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607949000,65,2020-12-14 07:30:00-05:00,7,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607949000,48,2020-12-14 07:30:00-05:00,7,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607949000,6,2020-12-14 07:30:00-05:00,7,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","25-10 30th Ave, Queens, NY 11102, USA",1607949000,54,2020-12-14 07:30:00-05:00,7,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","506 Lenox Ave, New York, NY 10037, USA",1607949000,35,2020-12-14 07:30:00-05:00,7,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607949000,46,2020-12-14 07:30:00-05:00,7,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607949000,58,2020-12-14 07:30:00-05:00,7,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607949000,77,2020-12-14 07:30:00-05:00,7,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","25-10 30th Ave, Queens, NY 11102, USA",1607949000,81,2020-12-14 07:30:00-05:00,7,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","506 Lenox Ave, New York, NY 10037, USA",1607949000,60,2020-12-14 07:30:00-05:00,7,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607950800,129,2020-12-14 08:00:00-05:00,8,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607950800,124,2020-12-14 08:00:00-05:00,8,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607950800,103,2020-12-14 08:00:00-05:00,8,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","25-10 30th Ave, Queens, NY 11102, USA",1607950800,80,2020-12-14 08:00:00-05:00,8,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","506 Lenox Ave, New York, NY 10037, USA",1607950800,99,2020-12-14 08:00:00-05:00,8,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607950800,111,2020-12-14 08:00:00-05:00,8,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607950800,101,2020-12-14 08:00:00-05:00,8,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607950800,97,2020-12-14 08:00:00-05:00,8,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","25-10 30th Ave, Queens, NY 11102, USA",1607950800,69,2020-12-14 08:00:00-05:00,8,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","506 Lenox Ave, New York, NY 10037, USA",1607950800,84,2020-12-14 08:00:00-05:00,8,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607950800,125,2020-12-14 08:00:00-05:00,8,2020-12-14
